# Fission Isotope Spectra
#  U235, Pu239, Pu241: Fit Extrapolation of reported Huber's spectra
#  U238: Fit Extrapolation of Muller spectra
#
# The columns have the following definitions:
#   Enu: Antineutrino energy [MeV]
#   dNdE_XXX: Antineutrino spectrum [antineutrinos MeV^-1 fission^-1]
#    Enu      dNdE_U235      dNdE_U238     dNdE_Pu239     dNdE_Pu241
    6.39      0.0245406       0.040355      0.0111349      0.0172006
     6.4      0.0242677       0.039918      0.0110246      0.0170286
    6.41      0.0239978      0.0394857      0.0109154      0.0168583
    6.42      0.0237309      0.0390582      0.0108073      0.0166896
    6.43       0.023467      0.0386352      0.0107002      0.0165227
    6.44       0.023206      0.0382168      0.0105942      0.0163574
    6.45       0.022948       0.037803      0.0104893      0.0161938
    6.46      0.0226928      0.0373936      0.0103854      0.0160319
    6.47      0.0224404      0.0369887      0.0102825      0.0158715
    6.48      0.0221908      0.0365881      0.0101807      0.0157128
    6.49       0.021944      0.0361919      0.0100798      0.0155556
     6.5         0.0217         0.0358        0.00998         0.0154
    6.51      0.0214424      0.0354035     0.00986871      0.0151886
    6.52       0.021188      0.0350114     0.00975865        0.01498
    6.53      0.0209365      0.0346237     0.00964983      0.0147744
    6.54       0.020688      0.0342402     0.00954221      0.0145715
    6.55      0.0204425       0.033861      0.0094358      0.0143715
    6.56      0.0201998       0.033486     0.00933057      0.0141742
    6.57      0.0199601      0.0331152     0.00922652      0.0139796
    6.58      0.0197232      0.0327484     0.00912363      0.0137877
    6.59      0.0194891      0.0323858     0.00902188      0.0135984
     6.6      0.0192578      0.0320271     0.00892127      0.0134117
    6.61      0.0190292      0.0316724     0.00882179      0.0132275
    6.62      0.0188034      0.0313216     0.00872341      0.0130459
    6.63      0.0185802      0.0309748     0.00862613      0.0128668
    6.64      0.0183597      0.0306317     0.00852993      0.0126902
    6.65      0.0181418      0.0302925      0.0084348       0.012516
    6.66      0.0179264       0.029957     0.00834074      0.0123441
